No.;nr_lokasi;nr_plot;nr_class;nr_ind;ID_ind;name_sp;nr_circ;nr_dbh;nr_basalarea;canopy_openness;canopy_closedness;canopy_class;nr_FW;nr_DW;sample_extract;sample_la;ft_la;la_sum;ft_sla;ft_ldmc;sample_stomata;ft_stomata;517nm;dpph_batch;dpph_blank;dpph_rsa;dpph_content;ft_dpph;ft_dpphrsa;520nm;proline_sample;proline_content;ft_proline;663nm;645nm;470nm;chla_sample;chlb_sample;totalchl_sample;chla_content;chlb_content;totalchl_content;ft_chla;ft_chlb;ft_totalchl
111;Wanariset;4;2;97;W.04.2.097;Aquilaria sp.;;0.39;0.1193985;0.207;0.777;Closed;2.93;2.32;;TRUE;32.33;161.65;69.68;0.7918;TRUE;55;0.428;104;0.648;33.95;84,875;84,875;33.95;0.097;5,705,882,353;5,705,882,353;5,705,882,353;1,279;0.483;1,625;14.94;5.07;20.01;1,494,403;0.507498;2,001,418;1,494,403;0.507498;2,001,418
112;Wanariset;4;2;107;W.04.2.107;Baccaurea sp4;;2.44;4,673,576;0.207;0.777;Closed;5.48;2.57;;TRUE;65,546;327.73;127.52;0.4690;TRUE;55;-0.036;103;0.464;107.76;26.94;26.94;100;-0.001;-0.05882352941;-0.5882352941;0;2,031;0.801;1,876;23.64;8.84;32.47;2,363,901;0.883782;3,246,882;2,363,901;0.883782;3,246,882
113;Wanariset;4;2;121;W.04.2.121;Macaranga lowii;;1.15;10,381,625;0.207;0.777;Closed;3.68;1.79;;TRUE;57,424;287.12;160.40;0.4864;TRUE;8;0.106;105;0.586;81.91;204,775;204,775;81.91;-0.037;-2,176,470,588;-2,176,470,588;0;2,513;1,552;3,307;27.74;23.78;51.50;2,774,022;2,377,996;5,150,466;2,774,022;2,377,996;5,150,466
114;Wanariset;4;2;127;W.04.2.127;Melanochyla fulvinervis;;6.54;33,575,706;0.207;0.777;Closed;16.1;8.18;;TRUE;168,306;841.53;102.88;0.5081;FALSE;;0.015;107;0.575;97.39;243,475;243,475;97.39;-0.009;-0.5294117647;-5,294,117,647;0;0.722;0.511;1,153;7.79;8.32;16.11;0.779481;0.832294;1,611,264;0.779481;0.832294;1,611,264
115;Wanariset;4;2;138;W.04.2.138;Fordia splendidissima;;1.3;132,665;0.207;0.777;Closed;21.84;12.66;;FALSE;;0;;0.5797;TRUE;54;0.143;105;0.586;75.6;18.9;18.9;75.6;0.04;2,352,941,176;2,352,941,176;2,352,941,176;1,568;0.807;2,019;17.74;11.14;28.88;1,774,277;1,114,206;2,887,676;1,774,277;1,114,206;2,887,676
116;Wanariset;4;2;139;W.04.2.139;Fordia splendidissima;;2.65;55,126,625;0.207;0.777;Closed;4.97;2.33;;TRUE;;0;;0.4688;TRUE;165;0.487;106;0.576;15.45;38,625;38,625;15.45;-0.061;-3,588,235,294;-3,588,235,294;0;2,398;1,045;2,304;27.64;12.71;40.34;2,764,355;1,270,786;4,034,096;2,764,355;1,270,786;4,034,096
117;Wanariset;4;2;154;W.04.2.154;Cleistanthus oblongifolius;;0.45;0.1589625;0.207;0.777;Closed;2.95;1.32;;TRUE;48,616;243.08;184.15;0.4475;TRUE;34;;;0.443;100;25;25;100;;0;0;0;;;;0.00;0.00;0.00;0;0;0;0;0;0
118;Wanariset;4;2;156;W.04.2.156;Macaranga lowii;;3.31;86,005,385;0.207;0.777;Closed;4.75;2.18;;TRUE;69.1;345.5;158.49;0.4589;TRUE;13;0.11;104;0.648;83.02;20,755;20,755;83.02;0.082;4,823,529,412;4,823,529,412;4,823,529,412;2,442;1,835;3,327;26.08;30.59;56.65;2,607,725;3,059,294;5,665,184;2,607,725;3,059,294;5,665,184
119;Wanariset;4;2;165;W.04.2.165;Eurycoma longifolia;;1.1;0.94985;0.207;0.777;Closed;15.06;7.08;;TRUE;;0;;0.4701;TRUE;24;-0.181;102;0.463;139.09;347,725;347,725;100;-0.008;-0.4705882353;-4,705,882,353;0;2.72;1,718;3,329;29.92;26.61;56.52;2,992,258;266,126;56,518;2,992,258;266,126;56,518
120;Wanariset;4;2;167;W.04.2.167;Dryobalanops lanceolata;;2.45;47,119,625;0.207;0.777;Closed;5.04;1.31;;TRUE;33,968;169.84;129.65;0.2599;TRUE;100;0.399;104;0.648;38.43;96,075;96,075;38.43;0.136;8;80;80;2,009;0.759;2,324;23.47;7.98;31.44;2,347,259;0.797898;3,144,398;2,347,259;0.797898;3,144,398
121;Wanariset;4;2;170;W.04.2.170;Dryobalanops beccarii;;1.75;24,040,625;0.207;0.777;Closed;2.11;0.85;;TRUE;23,778;118.89;139.87;0.4028;TRUE;134;0.107;103;0.464;76.94;19,235;19,235;76.94;0.087;5,117,647,059;5,117,647,059;5,117,647,059;1,261;0.698;2,463;14.14;10.08;24.21;1,413,708;1,008,272;2,421,282;1,413,708;1,008,272;2,421,282
122;Wanariset;4;2;201;W.04.2.201;Popowia pisocarpa;;2.08;3,396,224;0.207;0.777;Closed;3.22;1.59;;TRUE;44,004;220.02;138.38;0.4938;FALSE;;-0.018;101;0.455;103.96;25.99;25.99;100;0.172;1,011,764,706;1,011,764,706;1,011,764,706;2,136;1.28;2,948;23.68;19.32;42.99;23,684;1,931,552;4,298,672;23,684;1,931,552;4,298,672
123;Wanariset;4;2;206;W.04.2.206;Mallotus mollissimus;;0.43;0.1451465;0.207;0.777;Closed;10.57;3.86;;TRUE;193,568;967.84;250.74;0.3652;TRUE;6;0.33;105;0.586;43.69;109,225;109,225;43.69;-0.115;-6,764,705,882;-6,764,705,882;0;2,426;1.81;2,993;25.94;30.10;56.02;259,413;3,009,532;5,601,852;259,413;3,009,532;5,601,852
124;Wanariset;4;2;214;W.04.2.214;Rubroshorea smithiana;;1.44;1,627,776;0.207;0.777;Closed;5.65;2.51;;TRUE;1,156,466,667;346.94;138.22;0.4442;TRUE;71;0.172;104;0.648;73.46;18,365;18,365;73.46;0.019;1,117,647,059;1,117,647,059;1,117,647,059;2,595;1,273;3,448;29.53;17.01;46.53;2,953,213;170,071;465,265;2,953,213;170,071;465,265
125;Wanariset;4;2;224;W.04.2.224;Camellia lanceolata;;2.77;60,232,265;0.207;0.777;Closed;9.5;2.97;;TRUE;80,996;404.98;136.36;0.3126;TRUE;94;;;0.443;100;25;25;100;;0;0;0;;;;0.00;0.00;0.00;0;0;0;0;0;0
126;Wanariset;4;2;240;W.04.2.240;Euphorbiaceae;;4.35;148,541,625;0.207;0.777;Closed;3.44;0.98;;TRUE;31,024;155.12;158.29;0.2849;TRUE;32;0.432;106;0.576;25;6.25;6.25;25;0.005;0.2941176471;2,941,176,471;2,941,176,471;1.85;0.709;0.982;21.59;7.58;29.16;2,158,779;0.75781;291,588;2,158,779;0.75781;291,588
127;Wanariset;4;3;4;W.04.3.004;Syzygium sp5;52;16.55;2,150,134,625;0.207;0.777;Closed;14.56;7.29;;TRUE;108.83;544.15;74.64;0.5007;TRUE;321;-0.025;105;0.586;104.27;260,675;260,675;100;-0.035;-2,058,823,529;-2,058,823,529;0;0.552;0.318;0.585;6.15;4.70;10.85;0.615498;0.469884;1,085,064;0.615498;0.469884;1,085,064
